hour;linkID;link_type;start_node;end_node;flowrate;velocity;status
1:00:00;10115;Pipe;8610;8612;0.01248443;0.38497411;1
1:00:00;10117;Pipe;8612;8614;0.00523748;0.16150479;1
1:00:00;10119;Pipe;8602;8616;0.16768015;3.30921017;1
1:00:00;10121;Pipe;8616;8618;0.16227199;3.20247865;1
1:00:00;10123;Pipe;8618;8620;0.15495670;3.05810963;1
1:00:00;10125;Pipe;8620;8622;0.14654864;2.89217446;1
1:00:00;10127;Pipe;8622;8624;0.13764333;2.71642582;1
1:00:00;10129;Pipe;8624;8626;0.13693041;2.70235614;1
1:00:00;10131;Pipe;8626;8628;0.13549559;2.67403965;1
1:00:00;10133;Pipe;8628;8630;0.08083601;1.59531911;1
1:00:00;10135;Pipe;8630;8632;0.07959720;1.57087073;1
1:00:00;10137;Pipe;8632;8634;0.07788243;1.53702937;1
1:00:00;10139;Pipe;8634;8636;0.07463271;1.47289536;1
1:00:00;10141;Pipe;8636;8638;0.07043592;1.39007066;1
1:00:00;10143;Pipe;8638;8640;0.06680918;1.31849594;1
1:00:00;10145;Pipe;8640;8642;0.02684109;0.52971571;1
1:00:00;10147;Pipe;8628;8644;0.05136502;1.58390887;1
1:00:00;10149;Pipe;8644;8646;0.04661093;1.43731016;1
1:00:00;10151;Pipe;8646;8648;0.04432601;1.36685151;1
1:00:00;10153;Pipe;8648;8650;0.02833797;0.87383912;1
1:00:00;10155;Pipe;8650;8652;0.02634581;0.81240815;1
1:00:00;10157;Pipe;8652;8654;0.02344418;0.72293243;1
1:00:00;10159;Pipe;8654;8656;0.02049736;0.63206351;1
1:00:00;10161;Pipe;8656;8658;0.01715886;0.52911643;1
1:00:00;10163;Pipe;8658;8660;0.01555436;0.47963939;1
1:00:00;10165;Pipe;8660;8662;0.00379272;0.11695369;1
1:00:00;10167;Pipe;8662;8664;0.00054561;0.01682470;1
1:00:00;10169;Pipe;8660;8666;0.00857035;0.26427806;1
1:00:00;10171;Pipe;8666;8668;0.00548440;0.16911874;1
1:00:00;10173;Pipe;8668;8670;0.00530091;0.16346056;1
1:00:00;10175;Pipe;8670;8672;0.00509842;0.15721646;1
1:00:00;10177;Pipe;8672;8674;-0.01121922;0.34595974;1
1:00:00;10179;Pipe;8674;8676;-0.01184468;0.36524654;1
1:00:00;10181;Pipe;8676;8678;-0.01533634;0.47291634;1
1:00:00;10183;Pipe;8678;8680;-0.02200621;0.67859082;1
1:00:00;10185;Pipe;8680;8682;-0.02345147;0.72315721;1
1:00:00;10187;Pipe;8682;8684;-0.03505281;1.08090003;1
1:00:00;10189;Pipe;8684;8686;-0.03757590;1.15870305;1
1:00:00;10191;Pipe;8686;8640;-0.03842670;1.18493859;1
1:00:00;10193;Pipe;8642;8688;0.00350635;0.10812310;1
1:00:00;10195;Pipe;8642;8690;0.02094089;0.64574029;1
1:00:00;10197;Pipe;8690;8692;0.01896374;0.58477217;1
1:00:00;10199;Pipe;8692;8694;0.01458957;0.44988871;1
1:00:00;10201;Pipe;8694;8696;0.01038551;0.32025106;1
1:00:00;10203;Pipe;8696;8698;-0.00645477;0.19904143;1
1:00:00;10205;Pipe;8698;8700;-0.01061757;0.32740697;1
