hour;linkID;link_type;start_node;end_node;flowrate;velocity;status
0:00:00;10101;Pipe;8596;8598;0.03399059;0.46584234;1
0:00:00;10103;Pipe;8598;8600;0.03165764;0.43386906;1
0:00:00;10105;Pipe;8600;8602;0.03080678;0.42220798;1
0:00:00;10107;Pipe;8598;8604;0.00217869;0.06718267;1
0:00:00;10109;Pipe;8604;8606;0.00168589;0.05198653;1
0:00:00;10111;Pipe;8606;8608;0.00129862;0.04004466;1
0:00:00;10113;Pipe;8608;8610;0.00098540;0.03038620;1
0:00:00;10115;Pipe;8610;8612;0.00066392;0.02047283;1
0:00:00;10117;Pipe;8612;8614;0.00037910;0.01169000;1
0:00:00;10119;Pipe;8602;8616;0.03023290;0.59665398;1
0:00:00;10121;Pipe;8616;8618;0.02996476;0.59136217;1
0:00:00;10123;Pipe;8618;8620;0.02934869;0.57920384;1
0:00:00;10125;Pipe;8620;8622;0.02907278;0.57375873;1
0:00:00;10127;Pipe;8622;8624;0.02905085;0.57332580;1
0:00:00;10129;Pipe;8624;8626;0.02863509;0.56512079;1
0:00:00;10131;Pipe;8626;8628;0.02848923;0.56224222;1
0:00:00;10133;Pipe;8628;8630;0.01725028;0.34043867;1
0:00:00;10135;Pipe;8630;8632;0.01714408;0.33834274;1
0:00:00;10137;Pipe;8632;8634;0.01680077;0.33156735;1
0:00:00;10139;Pipe;8634;8636;0.01620929;0.31989452;1
0:00:00;10141;Pipe;8636;8638;0.01610078;0.31775291;1
0:00:00;10143;Pipe;8638;8640;0.01566722;0.30919648;1
0:00:00;10145;Pipe;8640;8642;0.00499163;0.09851112;1
0:00:00;10147;Pipe;8628;8644;0.01079091;0.33275207;1
0:00:00;10149;Pipe;8644;8646;0.00985916;0.30402024;1
0:00:00;10151;Pipe;8646;8648;0.00984963;0.30372656;1
0:00:00;10153;Pipe;8648;8650;0.00755273;0.23289838;1
0:00:00;10155;Pipe;8650;8652;0.00686884;0.21180971;1
0:00:00;10157;Pipe;8652;8654;0.00625456;0.19286773;1
0:00:00;10159;Pipe;8654;8656;0.00570645;0.17596597;1
0:00:00;10161;Pipe;8656;8658;0.00559599;0.17255986;1
0:00:00;10163;Pipe;8658;8660;0.00531837;0.16399917;1
0:00:00;10165;Pipe;8660;8662;0.00137298;0.04233752;1
0:00:00;10167;Pipe;8662;8664;0.00048552;0.01497160;1
0:00:00;10169;Pipe;8660;8666;0.00351980;0.10853776;1
0:00:00;10171;Pipe;8666;8668;0.00269269;0.08303253;1
0:00:00;10173;Pipe;8668;8670;0.00269159;0.08299862;1
0:00:00;10175;Pipe;8670;8672;0.00206761;0.06375752;1
0:00:00;10177;Pipe;8672;8674;-0.00394245;0.12157068;1
0:00:00;10179;Pipe;8674;8676;-0.00441535;0.13615315;1
0:00:00;10181;Pipe;8676;8678;-0.00481427;0.14845453;1
0:00:00;10183;Pipe;8678;8680;-0.00621780;0.19173412;1
0:00:00;10185;Pipe;8680;8682;-0.00708400;0.21844468;1
0:00:00;10187;Pipe;8682;8684;-0.00954256;0.29425767;1
0:00:00;10189;Pipe;8684;8686;-0.00990373;0.30539481;1
0:00:00;10191;Pipe;8686;8640;-0.01051578;0.32426822;1
0:00:00;10193;Pipe;8642;8688;0.00065717;0.02026473;1
0:00:00;10195;Pipe;8642;8690;0.00349589;0.10780032;1
