startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692190262.663;1692190263.169946;1692190381.083519;1692190381.087514;gateway_2;0;0;0
1692190263.17;1692190263.71252;1692190381.087514;1692190381.088514;gateway_2;0;0;0
1692190263.712;1692190264.217242;1692190381.088514;1692190381.089514;gateway_2;0;0;0
1692190264.216;1692190264.719314;1692190381.089514;1692190381.090521;gateway_2;0;0;0
1692190264.718;1692190265.222523;1692190381.090521;1692190381.091521;gateway_2;0;0;0
1692190277.798;1692190278.30299;1692190381.091521;1692190381.09252;gateway_2;0;0;0
1692190278.302;1692190278.805585;1692190381.09252;1692190381.093519;gateway_2;0;0;0
1692190278.805;1692190279.309305;1692190381.093519;1692190381.093519;gateway_2;0;0;0
1692190279.309;1692190279.812176;1692190381.09452;1692190381.09452;gateway_2;0;0;0
1692190279.812;1692190280.315797;1692190381.09552;1692190381.09552;gateway_2;0;0;0
1692190280.315;1692190280.818582;1692190381.098517;1692190381.099518;gateway_2;0;0;0
1692190280.817;1692190281.32124;1692190381.100518;1692190381.100518;gateway_2;0;0;0
1692190281.321;1692190281.823466;1692190381.100518;1692190381.101518;gateway_2;0;0;0
1692190281.823;1692190282.32747;1692190381.101518;1692190381.102516;gateway_2;0;0;0
1692190282.326;1692190282.830231;1692190381.102516;1692190381.103518;gateway_2;0;0;0
1692190282.829;1692190283.334004;1692190381.104516;1692190381.104516;gateway_2;0;0;0
1692190283.332;1692190283.835426;1692190381.105516;1692190381.105516;gateway_2;0;0;0
1692190283.835;1692190284.338741;1692190381.106514;1692190381.106514;gateway_2;0;0;0
1692190284.338;1692190284.840884;1692190381.106514;1692190381.107513;gateway_2;0;0;0
1692190284.841;1692190285.343719;1692190381.107513;1692190381.108514;gateway_2;0;0;0
1692190285.343;1692190285.846061;1692190381.108514;1692190381.109514;gateway_2;0;0;0
1692190285.846;1692190286.350275;1692190381.109514;1692190381.110518;gateway_2;0;0;0
1692190286.349;1692190286.852818;1692190381.110518;1692190381.112515;gateway_2;0;0;0
1692190286.852;1692190287.35506;1692190381.113514;1692190381.113514;gateway_2;0;0;0
1692190287.354;1692190287.857651;1692190381.11452;1692190381.11452;gateway_2;0;0;0
1692190287.857;1692190288.360325;1692190381.11552;1692190381.11552;gateway_2;0;0;0
1692190288.36;1692190288.862862;1692190381.11652;1692190381.11652;gateway_2;0;0;0
1692190288.862;1692190289.366143;1692190381.117514;1692190381.117514;gateway_2;0;0;0
1692190289.365;1692190289.868789;1692190381.118521;1692190381.118521;gateway_2;0;0;0
1692190289.868;1692190290.37232;1692190381.11952;1692190381.11952;gateway_2;0;0;0
1692190290.371;1692190290.874907;1692190381.120517;1692190381.121516;gateway_2;0;0;0
