base_demand,pressure_value,loss,mse,mae,r_square,fit_loss,fit_mse,fit_mae,fit_r_square,fit_val_loss,fit_val_mse,fit_val_mae,fit_val_r_square,delta_loss,delta_mse,delta_mae,delta_r_square,delta_fit_loss,delta_fit_mse,delta_fit_mae,delta_fit_r_square,delta_fit_val_loss,delta_fit_val_mse,delta_fit_val_mae,delta_fit_val_r_square,dataset,epochs
False,True,0.0002956606331281364,0.0002956606331281364,0.004410016816109419,0.14192885160446167,0.0002730756241362542,0.0002730756241362542,0.004173370078206062,0.1292126178741455,0.0003615030145738274,0.0003615030145738274,0.004710123408585787,0.17234790325164795,0,0,0,0,0,0,0,0,0,0,0,0,1W_one_res_small_no_leaks_rand_base_dem_nodes_output.csv,34
False,True,0.000295764475595206,0.000295764475595206,0.004416670650243759,0.14203381538391113,0,0,0,0,0,0,0,0,1.0384246706962585e-07,1.0384246706962585e-07,6.653834134340286e-06,0.00010496377944946289,2.268885145895183e-05,2.268885145895183e-05,0.00024330057203769684,0.012821197509765625,-6.573853897862136e-05,-6.573853897862136e-05,-0.00029345275834202766,-0.030314087867736816,1W_ALT_one_res_small_with_1_leaks_rand_base_dem_nodes_output.csv,0
False,True,0.00034965938539244235,0.00034965938539244235,0.00449350057169795,0.13795745372772217,0,0,0,0,0,0,0,0,5.399875226430595e-05,5.399875226430595e-05,8.34837555885315e-05,-0.003971397876739502,7.658376125618815e-05,7.658376125618815e-05,0.00032013049349188805,0.00874483585357666,-1.184362918138504e-05,-1.184362918138504e-05,-0.00021662283688783646,-0.03439044952392578,1W_ALT_one_res_small_with_1_at_8_leaks_rand_base_dem_nodes_output.csv,0
False,True,0.00037816321128048003,0.00037816321128048003,0.004596127197146416,0.13413989543914795,0,0,0,0,0,0,0,0,8.250257815234363e-05,8.250257815234363e-05,0.00018611038103699684,-0.007788956165313721,0.00010508758714422584,0.00010508758714422584,0.0004227571189403534,0.004927277565002441,1.666019670665264e-05,1.666019670665264e-05,-0.00011399621143937111,-0.0382080078125,1W_ALT_one_res_small_with_1_at_4_leaks_rand_base_dem_nodes_output.csv,0
False,True,0.000500108755659312,0.000500108755659312,0.006715421564877033,0.10080623626708984,0,0,0,0,0,0,0,0,0.0002044481225311756,0.0002044481225311756,0.0023054047487676144,-0.041122615337371826,0.00022703313152305782,0.00022703313152305782,0.002542051486670971,-0.028406381607055664,0.00013860574108548462,0.00013860574108548462,0.0020052981562912464,-0.0715416669845581,1W_ALT_one_res_small_with_1_at_2_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.0002036796067841351,0.0002036796067841351,0.003423343412578106,0.40887773036956787,0.00025677759549580514,0.00025677759549580514,0.004167225677520037,0.18118435144424438,0.0002547202166169882,0.0002547202166169882,0.0039281644858419895,0.41682446002960205,0,0,0,0,0,0,0,0,0,0,0,0,1W_one_res_small_no_leaks_rand_base_dem_nodes_output.csv,47
True,False,0.00020882311218883842,0.00020882311218883842,0.0035335735883563757,0.39423704147338867,0,0,0,0,0,0,0,0,5.143505404703319e-06,5.143505404703319e-06,0.00011023017577826977,-0.0146406888961792,-4.795448330696672e-05,-4.795448330696672e-05,-0.000633652089163661,0.2130526900291443,-4.589710442814976e-05,-4.589710442814976e-05,-0.0003945908974856138,-0.02258741855621338,1W_ALT_one_res_small_with_1_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.00025741374702192843,0.00025741374702192843,0.0037803922314196825,0.36537784337997437,0,0,0,0,0,0,0,0,5.3734140237793326e-05,5.3734140237793326e-05,0.0003570488188415766,-0.043499886989593506,6.361515261232853e-07,6.361515261232853e-07,-0.0003868334461003542,0.18419349193572998,2.6935304049402475e-06,2.6935304049402475e-06,-0.00014777225442230701,-0.051446616649627686,1W_ALT_one_res_small_with_1_at_8_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.0002745460660662502,0.0002745460660662502,0.003873645793646574,0.37138646841049194,0,0,0,0,0,0,0,0,7.08664592821151e-05,7.08664592821151e-05,0.0004503023810684681,-0.03749126195907593,1.776847057044506e-05,1.776847057044506e-05,-0.0002935798838734627,0.19020211696624756,1.9825849449262023e-05,1.9825849449262023e-05,-5.45186921954155e-05,-0.04543799161911011,1W_ALT_one_res_small_with_1_at_4_leaks_rand_base_dem_nodes_output.csv,0
True,False,0.00036640246980823576,0.00036640246980823576,0.0043701911345124245,0.34120965003967285,0,0,0,0,0,0,0,0,0.00016272286302410066,0.00016272286302410066,0.0009468477219343185,-0.06766808032989502,0.00010962487431243062,0.00010962487431243062,0.00020296545699238777,0.16002529859542847,0.00011168225319124758,0.00011168225319124758,0.00044202664867043495,-0.0756148099899292,1W_ALT_one_res_small_with_1_at_2_leaks_rand_base_dem_nodes_output.csv,0
True,True,7.976325287017971e-05,7.976325287017971e-05,0.0024745783302932978,0.7685097455978394,0.00016195706848520786,0.00016195706848520786,0.0028685759752988815,0.4835490584373474,9.764798596734181e-05,9.764798596734181e-05,0.002713058376684785,0.7764374017715454,0,0,0,0,0,0,0,0,0,0,0,0,1W_one_res_small_no_leaks_rand_base_dem_nodes_output.csv,24
True,True,8.088359754765406e-05,8.088359754765406e-05,0.002533895196393132,0.7653694152832031,0,0,0,0,0,0,0,0,1.1203446774743497e-06,1.1203446774743497e-06,5.931686609983444e-05,-0.0031403303146362305,-8.107347093755379e-05,-8.107347093755379e-05,-0.0003346807789057493,0.2818203568458557,-1.6764388419687748e-05,-1.6764388419687748e-05,-0.00017916318029165268,-0.011067986488342285,1W_ALT_one_res_small_with_1_leaks_rand_base_dem_nodes_output.csv,0
True,True,9.719723311718553e-05,9.719723311718553e-05,0.0027755822520703077,0.7603721022605896,0,0,0,0,0,0,0,0,1.743398024700582e-05,1.743398024700582e-05,0.00030100392177700996,-0.008137643337249756,-6.475983536802232e-05,-6.475983536802232e-05,-9.29937232285738e-05,0.2768230438232422,-4.507528501562774e-07,-4.507528501562774e-07,6.252387538552284e-05,-0.01606529951095581,1W_ALT_one_res_small_with_1_at_8_leaks_rand_base_dem_nodes_output.csv,0
True,True,0.00015958063886500895,0.00015958063886500895,0.0044804709032177925,0.6346167325973511,0,0,0,0,0,0,0,0,7.981738599482924e-05,7.981738599482924e-05,0.0020058925729244947,-0.13389301300048828,-2.3764296201989055e-06,-2.3764296201989055e-06,0.001611894927918911,0.15106767416000366,6.193265289766714e-05,6.193265289766714e-05,0.0017674125265330076,-0.14182066917419434,1W_ALT_one_res_small_with_1_at_4_leaks_rand_base_dem_nodes_output.csv,0
True,True,0.00048015551874414086,0.00048015551874414086,0.009082884527742863,0.13668203353881836,0,0,0,0,0,0,0,0,0.00040039226587396115,0.00040039226587396115,0.006608306197449565,-0.631827712059021,0.000318198450258933,0.000318198450258933,0.006214308552443981,-0.34686702489852905,0.00038250753277679905,0.00038250753277679905,0.006369826151058078,-0.639755368232727,1W_ALT_one_res_small_with_1_at_2_leaks_rand_base_dem_nodes_output.csv,0
