startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692255742.212;1692255742.716078;1692255743.012552;1692255743.012877;gateway_2;0;0;0
1692255742.715;1692255743.219753;1692255743.514697;1692255743.514975;gateway_2;0;0;0
1692255743.219;1692255743.723241;1692255744.016663;1692255744.016933;gateway_2;0;0;0
1692255743.723;1692255744.226208;1692255744.520474;1692255744.520721;gateway_2;0;0;0
1692255744.226;1692255744.729651;1692255745.023727;1692255745.023935;gateway_2;0;0;0
1692255744.729;1692255745.23269;1692255745.526695;1692255745.526903;gateway_2;0;0;0
1692255745.232;1692255745.735655;1692255746.029894;1692255746.030964;gateway_2;0;0;0
1692255745.735;1692255746.239374;1692255746.533658;1692255746.533885;gateway_2;0;0;0
1692255746.239;1692255746.742522;1692255747.036441;1692255747.036645;gateway_2;0;0;0
1692255746.741;1692255747.244368;1692255747.539446;1692255747.539659;gateway_2;0;0;0
1692255747.244;1692255747.748777;1692255748.043189;1692255748.043405;gateway_2;0;0;0
1692255747.748;1692255748.25204;1692255748.54697;1692255748.547181;gateway_2;0;0;0
1692255748.252;1692255748.755056;1692255749.049761;1692255749.049983;gateway_2;0;0;0
1692255748.755;1692255749.259091;1692255749.552726;1692255749.552922;gateway_2;0;0;0
1692255749.258;1692255749.760861;1692255750.056451;1692255750.056665;gateway_2;0;0;0
1692255749.76;1692255750.263922;1692255750.558525;1692255750.558731;gateway_2;0;0;0
1692255750.264;1692255750.768289;1692255751.062722;1692255751.062931;gateway_2;0;0;0
1692255750.768;1692255751.2712;1692255751.565219;1692255751.565428;gateway_2;0;0;0
1692255751.27;1692255751.774699;1692255752.068725;1692255752.068926;gateway_2;0;0;0
1692255751.774;1692255752.277683;1692255752.571986;1692255752.572191;gateway_2;0;0;0
1692255752.276;1692255752.781081;1692255753.074943;1692255753.075153;gateway_2;0;0;0
1692255752.779;1692255753.282909;1692255753.576983;1692255753.577184;gateway_2;0;0;0
1692255753.282;1692255753.785165;1692255754.084351;1692255754.084557;gateway_2;0;0;0
1692255753.785;1692255754.288142;1692255754.582283;1692255754.582494;gateway_2;0;0;0
1692255754.287;1692255754.790987;1692255755.084972;1692255755.085188;gateway_2;0;0;0
1692255754.791;1692255755.293966;1692255755.587499;1692255755.587707;gateway_2;0;0;0
1692255755.293;1692255755.797529;1692255756.091731;1692255756.091928;gateway_2;0;0;0
1692255755.797;1692255756.300664;1692255756.594951;1692255756.595156;gateway_2;0;0;0
1692255756.3;1692255756.80376;1692255757.097985;1692255757.098193;gateway_2;0;0;0
1692255756.803;1692255757.307492;1692255757.601716;1692255757.601924;gateway_2;0;0;0
1692255757.307;1692255757.810383;1692255758.1052;1692255758.105405;gateway_2;0;0;0
1692255757.81;1692255758.313171;1692255758.607693;1692255758.607899;gateway_2;0;0;0
1692255758.313;1692255758.815914;1692255759.109709;1692255759.109913;gateway_2;0;0;0
1692255758.815;1692255759.319048;1692255759.612958;1692255759.613172;gateway_2;0;0;0
1692255759.318;1692255759.823515;1692255760.11774;1692255760.118017;gateway_2;0;0;0
1692255759.823;1692255760.326133;1692255760.620259;1692255760.620524;gateway_2;0;0;0
1692255760.325;1692255760.828736;1692255761.123703;1692255761.123962;gateway_2;0;0;0
1692255760.828;1692255761.331349;1692255761.626366;1692255761.626669;gateway_2;0;0;0
1692255761.331;1692255761.835017;1692255762.129291;1692255762.129561;gateway_2;0;0;0
1692255761.834;1692255762.340153;1692255762.634935;1692255762.635378;gateway_2;0;0;0
1692255762.339;1692255762.842571;1692255763.138815;1692255763.139081;gateway_2;0;1;1
1692255762.842;1692255763.345882;1692255763.640276;1692255763.640537;gateway_2;0;1;1
1692255763.345;1692255763.848503;1692255764.142799;1692255764.143074;gateway_2;0;1;1
1692255763.848;1692255764.351662;1692255764.645904;1692255764.646134;gateway_2;0;1;1
1692255764.351;1692255764.854532;1692255765.148304;1692255765.148528;gateway_2;0;1;1
1692255764.854;1692255765.357575;1692255765.651616;1692255765.651832;gateway_2;0;1;1
1692255765.357;1692255765.860355;1692255766.15455;1692255766.154763;gateway_2;0;1;1
1692255765.86;1692255766.362936;1692255766.657295;1692255766.657509;gateway_2;1;1;1
1692255766.362;1692255766.865156;1692255767.160107;1692255767.160335;gateway_2;0;1;1
1692255766.865;1692255767.368538;1692255767.662594;1692255767.662811;gateway_2;0;1;1
1692255767.368;1692255767.871327;1692255768.165782;1692255768.165991;gateway_2;0;0;0
1692255767.871;1692255768.374815;1692255768.668857;1692255768.669079;gateway_2;0;0;0
1692255768.374;1692255768.878218;1692255769.172491;1692255769.172714;gateway_2;0;0;0
1692255768.878;1692255769.380806;1692255769.674791;1692255769.675011;gateway_2;0;0;0
1692255769.38;1692255769.883783;1692255770.177614;1692255770.17786;gateway_2;0;0;0
1692255772.397;1692255772.900466;1692255773.194853;1692255773.195089;gateway_1;0;0;0
1692255772.9;1692255773.402986;1692255773.697046;1692255773.697283;gateway_1;0;0;0
1692255773.402;1692255773.905806;1692255774.198829;1692255774.19905;gateway_1;0;0;0
1692255773.905;1692255774.407876;1692255774.701604;1692255774.70182;gateway_1;0;0;0
1692255774.407;1692255774.912233;1692255775.205599;1692255775.205829;gateway_1;0;0;0
1692255774.911;1692255775.416759;1692255775.711023;1692255775.711253;gateway_1;0;0;0
1692255775.416;1692255775.919669;1692255776.213848;1692255776.214243;gateway_1;0;0;0
1692255775.919;1692255776.423498;1692255776.716374;1692255776.716658;gateway_1;0;0;0
1692255776.422;1692255776.925856;1692255777.219562;1692255777.219856;gateway_1;0;0;0
1692255776.925;1692255777.427775;1692255777.721661;1692255777.721902;gateway_1;0;0;0
