startTime;edgeTime;cloudTime;notificationTime;clientName;hasLeak;leakGroup;prediction
1692258828.628;1692258829.132626;1692258829.134398;1692258859.610714;gateway_2;0;0;0
1692258829.132;1692258829.636103;1692258859.611713;1692258859.70999;gateway_2;0;0;0
1692258829.635;1692258830.139735;1692258859.712018;1692258859.797984;gateway_2;0;0;0
1692258830.139;1692258830.642693;1692258859.799987;1692258859.90004;gateway_2;0;0;0
1692258830.642;1692258831.145921;1692258859.901056;1692258859.985067;gateway_2;0;0;0
1692258831.145;1692258831.649745;1692258859.986037;1692258860.084736;gateway_2;0;0;0
1692258831.649;1692258832.151725;1692258860.085735;1692258860.185726;gateway_2;0;0;0
1692258832.151;1692258832.656209;1692258860.186727;1692258860.284722;gateway_2;0;0;0
1692258832.655;1692258833.160288;1692258860.284722;1692258860.393714;gateway_2;0;0;0
1692258833.159;1692258833.663443;1692258860.393714;1692258860.492876;gateway_2;0;0;0
1692258833.662;1692258834.165364;1692258860.493877;1692258860.619833;gateway_2;0;0;0
1692258834.164;1692258834.668718;1692258860.621819;1692258860.668823;gateway_2;0;0;0
1692258834.668;1692258835.171276;1692258860.669831;1692258860.814877;gateway_2;0;0;0
1692258835.171;1692258835.674619;1692258860.815865;1692258860.936301;gateway_2;0;0;0
1692258835.674;1692258836.177088;1692258860.937302;1692258860.984117;gateway_2;0;0;0
1692258836.177;1692258836.680982;1692258860.98515;1692258861.077116;gateway_2;0;0;0
1692258836.68;1692258837.185;1692258861.078118;1692258861.173026;gateway_2;0;0;0
1692258837.184;1692258837.687888;1692258861.174036;1692258861.269309;gateway_2;0;0;0
1692258837.687;1692258838.190005;1692258861.271307;1692258861.376514;gateway_2;0;0;0
1692258838.189;1692258838.693098;1692258861.376514;1692258861.470513;gateway_2;0;0;0
1692258838.692;1692258839.197118;1692258861.470513;1692258861.57655;gateway_2;0;0;0
1692258839.195;1692258839.699794;1692258861.577515;1692258861.670223;gateway_2;0;0;0
1692258839.699;1692258840.202107;1692258861.671202;1692258861.774202;gateway_2;0;0;0
1692258840.201;1692258840.704764;1692258861.774202;1692258861.869863;gateway_2;0;0;0
1692258840.704;1692258841.207549;1692258861.869863;1692258861.961869;gateway_2;0;0;0
1692258841.207;1692258841.710103;1692258861.962864;1692258862.054863;gateway_2;0;0;0
1692258841.709;1692258842.213444;1692258862.054863;1692258862.19486;gateway_2;0;0;0
1692258842.212;1692258842.717482;1692258862.19486;1692258862.242864;gateway_2;0;0;0
1692258842.716;1692258843.219738;1692258862.242864;1692258862.288866;gateway_2;0;0;0
1692258843.219;1692258843.723848;1692258862.28988;1692258862.336885;gateway_2;0;0;0
1692258843.722;1692258844.225705;1692258862.337428;1692258862.480204;gateway_2;0;0;0
1692258844.224;1692258844.728003;1692258862.480204;1692258862.528191;gateway_2;0;0;0
1692258844.727;1692258845.230327;1692258862.528191;1692258862.575917;gateway_2;0;0;0
1692258845.23;1692258845.733356;1692258862.575917;1692258862.621912;gateway_2;0;0;0
1692258845.733;1692258846.236788;1692258862.622915;1692258862.676912;gateway_2;0;0;0
1692258846.236;1692258846.739171;1692258862.676912;1692258862.723915;gateway_2;0;0;0
1692258846.739;1692258847.243183;1692258862.723915;1692258862.770933;gateway_2;0;0;0
1692258847.242;1692258847.74553;1692258862.770933;1692258862.827312;gateway_2;0;0;0
1692258847.745;1692258848.249911;1692258862.827312;1692258862.873859;gateway_2;0;0;0
1692258848.249;1692258848.752925;1692258862.874859;1692258863.004872;gateway_2;0;0;0
1692258848.752;1692258849.255773;1692258863.005861;1692258863.053859;gateway_2;0;1;1
1692258849.255;1692258849.758659;1692258863.05486;1692258863.101859;gateway_2;0;1;1
1692258849.757;1692258850.260622;1692258863.102859;1692258863.148886;gateway_2;0;1;1
1692258850.26;1692258850.763878;1692258863.149859;1692258863.19686;gateway_2;0;1;1
1692258850.763;1692258851.265946;1692258863.197871;1692258863.243862;gateway_2;0;1;1
1692258851.265;1692258851.769633;1692258863.243862;1692258863.296858;gateway_2;0;1;1
1692258851.769;1692258852.27267;1692258863.297859;1692258863.355054;gateway_2;0;1;1
1692258852.271;1692258852.77533;1692258863.355987;1692258863.50099;gateway_2;1;1;1
1692258852.774;1692258853.277745;1692258863.501987;1692258863.547984;gateway_2;0;1;1
1692258853.277;1692258853.7808;1692258863.548985;1692258863.594985;gateway_2;0;1;1
1692258853.78;1692258854.283513;1692258863.594985;1692258863.641996;gateway_2;0;0;0
1692258854.283;1692258854.78674;1692258863.643019;1692258863.689;gateway_2;0;0;0
1692258854.786;1692258855.290289;1692258863.689;1692258863.734987;gateway_2;0;0;0
1692258855.289;1692258855.794053;1692258863.735988;1692258863.781985;gateway_2;0;0;0
1692258855.793;1692258856.297584;1692258863.782985;1692258863.832984;gateway_2;0;0;0
1692258868.87;1692258869.375151;1692258869.376501;1692258869.422605;gateway_2;0;0;0
1692258869.374;1692258869.877764;1692258869.878864;1692258869.925468;gateway_2;0;0;0
1692258869.877;1692258870.381168;1692258870.382363;1692258870.427771;gateway_2;0;0;0
1692258870.38;1692258870.883068;1692258870.884156;1692258870.930749;gateway_2;0;0;0
1692258870.882;1692258871.38675;1692258871.38775;1692258871.434149;gateway_2;0;0;0
1692258871.386;1692258871.889355;1692258871.890456;1692258871.936552;gateway_2;0;0;0
1692258871.889;1692258872.391912;1692258872.393043;1692258872.439074;gateway_2;0;0;0
1692258872.391;1692258872.894689;1692258872.895773;1692258872.945468;gateway_2;0;0;0
1692258872.894;1692258873.39818;1692258873.399167;1692258873.450163;gateway_2;0;0;0
1692258873.397;1692258873.901227;1692258873.902328;1692258873.947969;gateway_2;0;0;0
1692258873.9;1692258874.403566;1692258874.4047;1692258874.449084;gateway_2;0;0;0
1692258874.403;1692258874.907184;1692258874.908305;1692258874.957593;gateway_2;0;0;0
