leak_group_model;leak_node_model;leak_node_test;loss;accuracy
3;1;1;0.013047601096332073;0.999813973903656
3;1;2;0.010119465179741383;0.9999070167541504
3;1;3;0.030591154471039772;0.9937872290611267
3;1;4;0.015978867188096046;0.9971539974212646
3;1;5;0.012388250790536404;0.9986979365348816
3;1;6;0.02649371139705181;0.9915178418159485
3;1;7;0.0500154010951519;0.9816778302192688
3;1;8;0.046048976480960846;0.9822172522544861
3;1;9;0.03419854864478111;0.9878720045089722
3;2;1;0.024496952071785927;0.9976004362106323
3;2;2;0.01015615463256836;0.9999628067016602
3;2;3;0.054013997316360474;0.9818080067634583
3;2;4;0.01130401436239481;0.9997209906578064
3;2;5;0.009856980293989182;0.9999628067016602
3;2;6;0.017149431630969048;0.9982700943946838
3;2;7;0.06619802117347717;0.9710379242897034
3;2;8;0.035042811185121536;0.9902901649475098
3;2;9;0.023540129885077477;0.9963169693946838
3;3;1;0.03500222787261009;0.9864025115966797
3;3;2;0.04863728582859039;0.9784040451049805
3;3;3;0.0019349883077666163;1.0
3;3;4;0.03630996495485306;0.9862537384033203
3;3;5;0.03895634785294533;0.9840959906578064
3;3;6;0.029724150896072388;0.9907923936843872
3;3;7;0.004934368655085564;0.9997767806053162
3;3;8;0.04397052899003029;0.9818080067634583
3;3;9;0.03347795829176903;0.9880580306053162
3;4;1;0.02841239608824253;0.9946428537368774
3;4;2;0.009121577255427837;0.9997953772544861
3;4;3;0.058911338448524475;0.9748139977455139
3;4;4;0.004267783835530281;1.0
3;4;5;0.004763453267514706;1.0
3;4;6;0.005781233310699463;0.9997953772544861
3;4;7;0.06211636960506439;0.9737909436225891
3;4;8;0.012089776806533337;0.998418927192688
3;4;9;0.008601898327469826;0.9996093511581421
3;5;1;0.02320496179163456;0.9967076182365417
3;5;2;0.006647210568189621;0.9999628067016602
3;5;3;0.0581219382584095;0.9744419455528259
3;5;4;0.0037411933299154043;1.0
3;5;5;0.0035582652781158686;1.0
3;5;6;0.005748291965574026;0.9997581839561462
3;5;7;0.06399110704660416;0.9705915451049805
3;5;8;0.014036845415830612;0.9976004362106323
3;5;9;0.00913767796009779;0.9993303418159485
3;6;1;0.03641200810670853;0.9890996813774109
3;6;2;0.015027058310806751;0.9985862970352173
3;6;3;0.049667298793792725;0.9816964268684387
3;6;4;0.005917503498494625;1.0
3;6;5;0.007110852748155594;0.9999442100524902
3;6;6;0.006107817869633436;0.9999442100524902
3;6;7;0.05106566473841667;0.9807477593421936
3;6;8;0.010502766817808151;0.9993861317634583
3;6;9;0.0082843117415905;0.9998884201049805
3;7;1;0.03998903930187225;0.9852492809295654
3;7;2;0.04485383257269859;0.9815848469734192
3;7;3;0.003978789318352938;1.0
3;7;4;0.027643563225865364;0.9920200705528259
3;7;5;0.030262427404522896;0.9898437261581421
3;7;6;0.021074218675494194;0.9963913559913635
3;7;7;0.005325189791619778;0.9999256134033203
3;7;8;0.026532229036092758;0.9929129481315613
3;7;9;0.022514397278428078;0.9957961440086365
3;8;1;0.049757976084947586;0.9791852831840515
3;8;2;0.02192745916545391;0.9966517686843872
3;8;3;0.05865342170000076;0.9724144339561462
3;8;4;0.006806609686464071;1.0
3;8;5;0.009771421551704407;0.9997767806053162
3;8;6;0.0057823192328214645;0.9999814033508301
3;8;7;0.055290352553129196;0.9757998585700989
3;8;8;0.003845006227493286;1.0
3;8;9;0.0059036752209067345;0.9999814033508301
3;9;1;0.0416659340262413;0.9876487851142883
3;9;2;0.017499791458249092;0.9984561204910278
3;9;3;0.04677623137831688;0.9847842454910278
3;9;4;0.007007398642599583;1.0
3;9;5;0.008840333670377731;1.0
3;9;6;0.006812176667153835;0.9999442100524902
3;9;7;0.04973120987415314;0.9828869104385376
3;9;8;0.009086464531719685;0.999627947807312
3;9;9;0.00789323728531599;0.9999070167541504
