leak_group_model;leak_node_model;leak_node_test;loss;accuracy
7;1;1;0.006810024846345186;0.9997581839561462
7;1;2;0.8703337907791138;0.875781238079071
7;1;3;0.00883530918508768;0.9986607432365417
7;1;4;0.43823128938674927;0.8887834548950195
7;1;5;0.3700491786003113;0.8925967216491699
7;1;6;0.4327392280101776;0.8889322876930237
7;1;7;0.28132128715515137;0.9049479365348816
7;1;8;0.22843362390995026;0.9128720164299011
7;1;9;0.04342842102050781;0.9826264977455139
7;2;1;0.9251505732536316;0.8740699291229248
7;2;2;0.01610621251165867;0.9997581839561462
7;2;3;0.9098637104034424;0.8751115798950195
7;2;4;1.496660828590393;0.8542410731315613
7;2;5;1.4058566093444824;0.8625372052192688
7;2;6;1.489552617073059;0.8545758724212646
7;2;7;1.2245560884475708;0.8663318157196045
7;2;8;0.5308396220207214;0.8937686085700989
7;2;9;0.7852349877357483;0.8772693276405334
7;3;1;0.0041543361730873585;0.9997023940086365
7;3;2;0.9639918804168701;0.8755766153335571
7;3;3;0.003443713067099452;0.9996652007102966
7;3;4;0.7947770357131958;0.8757626414299011
7;3;5;0.6450586915016174;0.8786644339561462
7;3;6;0.776752769947052;0.8762276768684387
7;3;7;0.44204995036125183;0.888076663017273
7;3;8;0.19486534595489502;0.9282923936843872
7;3;9;0.0244987141340971;0.9922618865966797
7;4;1;0.4854014217853546;0.8112165331840515
7;4;2;0.9472081065177917;0.8748884201049805
7;4;3;0.5662909746170044;0.7970052361488342
7;4;4;0.00833243876695633;0.9999814033508301
7;4;5;0.013840562663972378;0.9997953772544861
7;4;6;0.007982417941093445;0.9999814033508301
7;4;7;0.0364125519990921;0.9937313795089722
7;4;8;0.9646880626678467;0.7991257309913635
7;4;9;0.7924907207489014;0.7817336320877075
7;5;1;0.5078344941139221;0.8645275235176086
7;5;2;1.250352382659912;0.8749256134033203
7;5;3;0.607338011264801;0.8555617332458496
7;5;4;0.0035039889626204967;0.9999256134033203
7;5;5;0.0038025137037038803;0.9999442100524902
7;5;6;0.0031650750897824764;0.9999628067016602
7;5;7;0.012356572784483433;0.9981212615966797
7;5;8;1.1559937000274658;0.8547804951667786
7;5;9;0.8940042853355408;0.8404576182365417
7;6;1;0.39280879497528076;0.7951822876930237
7;6;2;0.7969472408294678;0.8748884201049805
7;6;3;0.45503053069114685;0.7817894220352173
7;6;4;0.017122851684689522;0.9999442100524902
7;6;5;0.026167131960392;0.9990513324737549
7;6;6;0.016271473839879036;0.9999814033508301
7;6;7;0.05269785225391388;0.9902715682983398
7;6;8;0.802772581577301;0.7973586320877075
7;6;9;0.6396573185920715;0.7747023701667786
7;7;1;0.4944424629211426;0.8825520873069763
7;7;2;1.3931374549865723;0.874813973903656
7;7;3;0.6278932094573975;0.8754650354385376
7;7;4;0.0004874800506513566;1.0
7;7;5;0.0005460529355332255;1.0
7;7;6;0.00037528801476582885;1.0
7;7;7;0.0017970692133530974;0.9997581839561462
7;7;8;1.326614260673523;0.8686941862106323
7;7;9;0.996768057346344;0.8639137148857117
7;8;1;0.25473132729530334;0.909561038017273
7;8;2;0.6320773363113403;0.8788132667541504
7;8;3;0.193105548620224;0.9224888682365417
7;8;4;1.1834468841552734;0.8471354246139526
7;8;5;1.0227985382080078;0.8591517806053162
7;8;6;1.1614071130752563;0.8475074172019958
7;8;7;0.8618982434272766;0.8665550351142883
7;8;8;0.007752822712063789;0.9999628067016602
7;8;9;0.08618412911891937;0.9615141153335571
7;9;1;0.024878958240151405;0.9922246932983398
7;9;2;0.7267631888389587;0.8777901530265808
7;9;3;0.01498639490455389;0.9959635138511658
7;9;4;0.9361176490783691;0.8605096936225891
7;9;5;0.7711414098739624;0.862109363079071
7;9;6;0.9167487025260925;0.8604538440704346
7;9;7;0.5671142935752869;0.8694382309913635
7;9;8;0.04347192123532295;0.9822544455528259
7;9;9;0.004867670126259327;0.9998697638511658
