leak_group_model;leak_node_model;leak_node_test;loss;accuracy
1;1;1;0.03711814805865288;0.9999628067016602
1;1;2;0.06644733995199203;0.9892299175262451
1;1;3;0.040489666163921356;0.9998325705528259
1;1;4;0.03977112099528313;1.0
1;1;5;0.05465655401349068;0.9980840682983398
1;1;6;0.07312659919261932;0.9727120399475098
1;1;7;0.04181448742747307;0.9997953772544861
1;1;8;0.041076548397541046;0.9998697638511658
1;1;9;0.04054475575685501;0.9999628067016602
1;2;1;0.23366953432559967;0.875
1;2;2;0.0023782590869814157;1.0
1;2;3;0.24107278883457184;0.875
1;2;4;0.19951023161411285;0.8751302361488342
1;2;5;0.003286100924015045;1.0
1;2;6;0.47212159633636475;0.875
1;2;7;0.32448074221611023;0.875
1;2;8;0.24025575816631317;0.875
1;2;9;0.24124790728092194;0.875
1;3;1;0.0417514406144619;0.9999070167541504
1;3;2;0.13844053447246552;0.8755394220352173
1;3;3;0.03480285778641701;1.0
1;3;4;0.04228001460433006;0.9999256134033203
1;3;5;0.10400507599115372;0.9063988327980042
1;3;6;0.1064487099647522;0.9016740918159485
1;3;7;0.05101168528199196;0.9981771111488342
1;3;8;0.035851988941431046;1.0
1;3;9;0.03472641855478287;1.0
1;4;1;0.00038910037255845964;1.0
1;4;2;0.0012643870431929827;1.0
1;4;3;0.0005465943831950426;1.0
1;4;4;0.00042323346133343875;1.0
1;4;5;0.0008591540972702205;1.0
1;4;6;0.04772958904504776;0.988653302192688
1;4;7;0.0012686520349234343;1.0
1;4;8;0.0005606993217952549;1.0
1;4;9;0.0005457797669805586;1.0
1;5;1;0.21065329015254974;0.8751488327980042
1;5;2;0.02324591763317585;1.0
1;5;3;0.22096072137355804;0.8751488327980042
1;5;4;0.1958991289138794;0.8754278421401978
1;5;5;0.025526277720928192;1.0
1;5;6;0.297392338514328;0.875
1;5;7;0.24378317594528198;0.875
1;5;8;0.22257140278816223;0.875
1;5;9;0.2208300232887268;0.8750371932983398
1;6;1;0.047886233776807785;0.9996466040611267
1;6;2;0.10737275332212448;0.9328683018684387
1;6;3;0.06079207733273506;0.999032735824585
1;6;4;0.05616769194602966;0.9987537264823914
1;6;5;0.09501700848340988;0.9558965563774109
1;6;6;0.03855591267347336;1.0
1;6;7;0.03417171165347099;1.0
1;6;8;0.060973234474658966;0.9986979365348816
1;6;9;0.06106821075081825;0.9990699291229248
1;7;1;0.036222945898771286;1.0
1;7;2;0.11531522125005722;0.9002976417541504
1;7;3;0.05513580143451691;0.9992559552192688
1;7;4;0.045820027589797974;0.9998325705528259
1;7;5;0.10008466243743896;0.929501473903656
1;7;6;0.050425756722688675;0.9984561204910278
1;7;7;0.025247907266020775;1.0
1;7;8;0.05532422289252281;0.9990885257720947
1;7;9;0.055076517164707184;0.999627947807312
1;8;1;0.007058402057737112;1.0
1;8;2;0.021224506199359894;1.0
1;8;3;0.0056778378784656525;1.0
1;8;4;0.006542081944644451;1.0
1;8;5;0.015286232344806194;1.0
1;8;6;0.05465617775917053;0.9932105541229248
1;8;7;0.010849213227629662;1.0
1;8;8;0.0056488122791051865;1.0
1;8;9;0.005653457250446081;1.0
1;9;1;0.0017656768904998899;1.0
1;9;2;0.00951054785400629;1.0
1;9;3;0.0010312882950529456;1.0
1;9;4;0.0014188064960762858;1.0
1;9;5;0.006120425183326006;1.0
1;9;6;0.05736089125275612;0.9824032783508301
1;9;7;0.005148920696228743;1.0
1;9;8;0.0010608176235109568;1.0
1;9;9;0.0010090118739753962;1.0
