leak_group_model;leak_node_model;leak_node_test;loss;accuracy
5;1;1;0.007232179865241051;0.9999814033508301
5;1;2;0.4128957986831665;0.8835565447807312
5;1;3;1.4717235565185547;0.875
5;1;4;0.0023067330475896597;0.9998884201049805
5;1;5;0.002747875638306141;0.9997953772544861
5;1;6;0.7005768418312073;0.8749442100524902
5;1;7;0.0027114320546388626;0.999813973903656
5;1;8;1.4172089099884033;0.875
5;1;9;1.3681706190109253;0.875
5;2;1;0.14557231962680817;0.9502604007720947
5;2;2;0.02270997315645218;0.9999256134033203
5;2;3;0.5485832095146179;0.875
5;2;4;0.03525010123848915;0.999404788017273
5;2;5;0.04458760470151901;0.9987909197807312
5;2;6;0.4117417335510254;0.8752976059913635
5;2;7;0.03567560762166977;0.9992559552192688
5;2;8;0.52799391746521;0.8750371932983398
5;2;9;0.5066655278205872;0.8750557899475098
5;3;1;0.5360000133514404;0.8553385138511658
5;3;2;0.5360383987426758;0.8770647048950195
5;3;3;0.031048787757754326;0.9997581839561462
5;3;4;0.6471418142318726;0.8728050589561462
5;3;5;0.6217079758644104;0.8698846697807312
5;3;6;0.4742657244205475;0.8744977712631226
5;3;7;0.6284255981445312;0.8721168041229248
5;3;8;0.29614153504371643;0.8940476179122925
5;3;9;0.31750521063804626;0.8896205425262451
5;4;1;0.17357288300991058;0.9078683257102966
5;4;2;0.32227468490600586;0.8816778063774109
5;4;3;0.9680860042572021;0.875
5;4;4;0.020925668999552727;0.9995907545089722
5;4;5;0.023773619905114174;0.9990513324737549
5;4;6;0.6585099101066589;0.8749070167541504
5;4;7;0.022834884002804756;0.9995721578598022
5;4;8;0.926263689994812;0.8749070167541504
5;4;9;0.9006337523460388;0.8749256134033203
5;5;1;0.2027110904455185;0.8987537026405334
5;5;2;0.4397798776626587;0.8796502947807312
5;5;3;1.2078969478607178;0.875
5;5;4;0.006271067075431347;0.9999628067016602
5;5;5;0.006947778631001711;0.9998325705528259
5;5;6;0.8836361765861511;0.875
5;5;7;0.006987125612795353;0.9998697638511658
5;5;8;1.1567142009735107;0.8749070167541504
5;5;9;1.1286007165908813;0.8749814033508301
5;6;1;0.16872967779636383;0.925595223903656
5;6;2;0.5140719413757324;0.8767299056053162
5;6;3;0.4004541039466858;0.8319754600524902
5;6;4;0.48619744181632996;0.8766555190086365
5;6;5;0.427044540643692;0.8795945048332214
5;6;6;0.007358802482485771;0.9998697638511658
5;6;7;0.4824856221675873;0.8769159317016602
5;6;8;0.24247153103351593;0.9001674056053162
5;6;9;0.25099965929985046;0.8983072638511658
5;7;1;0.18084518611431122;0.9037760496139526
5;7;2;0.3293825685977936;0.8835007548332214
5;7;3;0.9628288745880127;0.875
5;7;4;0.01345251314342022;0.9998511672019958
5;7;5;0.01676611416041851;0.9993303418159485
5;7;6;0.7162792682647705;0.875
5;7;7;0.014511238783597946;0.9997953772544861
5;7;8;0.980170488357544;0.8749070167541504
5;7;9;0.9536752700805664;0.8749814033508301
5;8;1;0.5301536321640015;0.8398251533508301
5;8;2;0.7261097431182861;0.8750371932983398
5;8;3;0.14802958071231842;0.9300781488418579
5;8;4;0.7456008195877075;0.8747581839561462
5;8;5;0.7284303307533264;0.8735862970352173
5;8;6;0.4027794897556305;0.8785900473594666
5;8;7;0.7597914338111877;0.8746093511581421
5;8;8;0.009228534065186977;0.9998325705528259
5;8;9;0.011594278737902641;0.9989583492279053
5;9;1;0.7033706903457642;0.8512091040611267
5;9;2;0.9010851979255676;0.875
5;9;3;0.3175795078277588;0.901543915271759
5;9;4;0.9684123992919922;0.8747209906578064
5;9;5;0.9429599642753601;0.8741257190704346
5;9;6;0.5915240049362183;0.8752976059913635
5;9;7;0.9835768342018127;0.8746652007102966
5;9;8;0.04881592094898224;0.9787202477455139
5;9;9;0.008692122995853424;0.9999814033508301
